time_s,force
20.89,9.0582
20.891,9.6216
20.892,9.705
20.893,9.8467
20.894,9.5904
20.895,9.3809
20.896,9.0811
20.897,9.0228
20.898,9.0409
20.899,9.4432
20.9,9.6375
20.901,9.4765
20.902,9.286
20.903,8.638
20.904,8.5524
20.905,8.4625
20.906,8.9451
20.907,9.3057
20.908,9.6534
20.909,9.7257
20.91,9.4578
20.911,9.2561
20.912,9.1627
20.913,9.1303
20.914,9.375
20.915,9.5663
20.916,9.7105
20.917,9.6912
20.918,9.4853
20.919,9.4459
20.92,9.2529
20.921,9.2365
20.922,9.2073
20.923,9.4881
20.924,9.8398
20.925,9.9354
20.926,9.6414
20.927,9.2747
20.928,9.134
20.929,9.1481
20.93,9.2322
20.931,9.5549
20.932,9.743
20.933,10.0208
20.934,9.9933
20.935,9.6923
20.936,9.2093
20.937,9.1655
20.938,9.3897
20.939,9.71
20.94,10.0106
20.941,9.8197
20.942,9.755
20.943,9.5308
20.944,9.4804
20.945,9.5568
20.946,9.6285
20.947,9.9712
20.948,9.8893
20.949,9.837
20.95,9.7061
20.951,9.6075
20.952,9.3662
20.953,9.1978
20.954,9.039
20.955,9.221
20.956,9.5103
20.957,9.5742
20.958,9.5782
20.959,9.4271
20.96,9.3634
20.961,9.3197
20.962,9.5368
20.963,9.9973
20.964,10.2546
20.965,9.916
20.966,9.7633
20.967,9.5855
20.968,9.5254
20.969,9.4278
20.97,9.5827
20.971,9.9858
20.972,10.162
20.973,10.0865
20.974,9.8632
20.975,9.6508
20.976,9.39
20.977,9.5259
20.978,9.8588
20.979,10.063
20.98,9.9509
20.981,9.6763
20.982,9.2436
20.983,9.1222
20.984,9.1761
20.985,9.4261
20.986,9.3557
20.987,9.588
20.988,9.6526
20.989,9.8374
20.99,9.4501
20.991,9.3899
20.992,9.2414
20.993,9.6478
20.994,10.1648
20.995,10.398
20.996,10.4441
20.997,10.3166
20.998,10.1828
20.999,10.0454
21.0,9.8742
21.001,9.8708
21.002,9.773
21.003,9.8646
21.004,9.7506
21.005,9.65
21.006,9.3953
21.007,9.0936
21.008,8.9044
21.009,8.9178
21.01,9.3932
21.011,9.8641
21.012,9.9802
21.013,10.0636
21.014,9.8482
21.015,9.978
21.016,10.054
21.017,10.0287
21.018,9.8838
21.019,10.0374
21.02,10.3212
21.021,10.3967
21.022,10.0686
21.023,9.466
21.024,9.2143
21.025,9.0748
21.026,9.6006
21.027,9.6797
21.028,9.8388
21.029,9.8179
21.03,9.7915
21.031,9.5072
21.032,9.377
21.033,9.4388
21.034,9.7595
21.035,10.0966
21.036,10.1227
21.037,10.3595
21.038,9.5664
21.039,9.5222
21.04,9.1797
21.041,9.7222
21.042,10.1553
21.043,10.1729
21.044,10.3619
21.045,10.1854
21.046,9.9753
21.047,9.6012
21.048,9.4802
21.049,9.5555
21.05,9.8629
21.051,10.1324
21.052,10.2538
21.053,9.8043
21.054,9.3356
21.055,9.1805
21.056,9.4437
21.057,9.7011
21.058,10.1633
21.059,10.4263
21.06,10.2544
21.061,10.1763
21.062,9.7775
21.063,9.8921
21.064,9.7707
21.065,9.8254
21.066,9.6492
21.067,9.8677
21.068,10.0441
21.069,10.1075
21.07,9.802
21.071,9.2774
21.072,9.0149
21.073,9.0387
21.074,9.6584
21.075,9.8328
21.076,10.0199
21.077,9.8874
21.078,9.7503
21.079,9.643
21.08,9.6333
21.081,10.032
21.082,10.1759
21.083,10.2545
21.084,9.9335
21.085,9.91
21.086,9.8401
21.087,9.7385
21.088,9.6649
21.089,9.6569
21.09,10.0344
21.091,10.1308
21.092,10.4683
21.093,10.4265
21.094,10.3449
21.095,9.7147
21.096,9.6583
21.097,9.4077
21.098,9.8596
21.099,10.0012
21.1,10.0509
21.101,9.6692
21.102,9.4622
21.103,9.3716
21.104,9.5458
21.105,9.5241
21.106,9.9973
21.107,10.0391
21.108,10.1423
21.109,10.1091
21.11,9.787
21.111,9.5054
21.112,9.3498
21.113,9.4786
21.114,9.9618
21.115,10.351
21.116,10.6563
21.117,10.1773
21.118,9.761
21.119,9.5291
21.12,9.6208
21.121,9.8152
21.122,10.1316
21.123,10.4272
21.124,10.4062
21.125,10.2692
21.126,9.8422
21.127,9.5622
21.128,9.4965
21.129,9.6499
21.13,9.9227
21.131,10.1579
21.132,10.162
21.133,10.0068
21.134,9.8459
21.135,9.5246
21.136,9.5922
21.137,9.6985
21.138,10.0405
21.139,10.1658
21.14,10.2644
21.141,10.2089
21.142,9.7594
21.143,9.381
21.144,9.0531
21.145,9.2424
21.146,9.5028
21.147,9.7923
21.148,10.1266
21.149,9.9512
21.15,9.7105
21.151,9.4339
21.152,9.2507
21.153,9.484
21.154,10.121
21.155,10.2798
21.156,10.5522
21.157,10.4143
21.158,10.0408
21.159,9.6615
21.16,9.76
21.161,9.9765
21.162,10.3191
21.163,10.4115
21.164,10.5126
21.165,10.3112
21.166,9.9106
21.167,9.5717
21.168,9.4048
21.169,9.5431
21.17,10.0307
21.171,10.1911
21.172,10.2001
21.173,10.2692
21.174,10.1761
21.175,9.8256
21.176,9.6368
21.177,9.623
21.178,10.1294
21.179,10.513
21.18,10.6435
21.181,10.4301
21.182,9.9852
21.183,9.5462
21.184,9.5234
21.185,9.4403
21.186,9.8287
21.187,9.7545
21.188,9.4907
21.189,9.6627
21.19,9.4895
21.191,9.5588
21.192,9.3017
21.193,9.6991
21.194,10.0414
21.195,10.2459
21.196,10.1707
21.197,9.9058
21.198,9.868
21.199,9.6812
21.2,9.6045
21.201,9.5415
21.202,10.0099
21.203,9.9985
21.204,10.2739
21.205,10.2213
21.206,10.0346
21.207,9.7293
21.208,9.5736
21.209,9.6533
21.21,9.7105
21.211,10.1943
21.212,10.2448
21.213,10.2238
21.214,9.7629
21.215,9.4551
21.216,9.2529
21.217,9.43
21.218,9.9251
21.219,10.1025
21.22,10.2708
21.221,10.1134
21.222,9.935
21.223,9.9818
21.224,9.9187
21.225,10.0606
21.226,10.1909
21.227,10.2672
21.228,10.0258
21.229,9.9647
21.23,9.6544
21.231,9.7385
21.232,9.639
21.233,9.8851
21.234,10.119
21.235,10.1272
21.236,10.0873
21.237,9.4036
21.238,9.6604
21.239,9.3394
21.24,9.8492
21.241,9.6917
21.242,10.0644
21.243,10.2103
21.244,9.9069
21.245,9.6575
21.246,9.6028
21.247,9.6709
21.248,9.784
21.249,9.9844
21.25,10.4406
21.251,10.5524
21.252,10.2996
21.253,10.3412
21.254,9.9988
21.255,9.7606
21.256,9.5057
21.257,9.7751
21.258,10.1462
21.259,10.4458
21.26,10.4582
21.261,10.0686
21.262,9.5365
21.263,9.2534
21.264,9.4621
21.265,9.6994
21.266,10.0875
21.267,10.0958
21.268,10.0771
21.269,9.8461
21.27,9.6664
21.271,9.5021
21.272,9.5387
21.273,9.5682
21.274,10.0169
21.275,10.292
21.276,10.398
21.277,9.9729
21.278,9.7389
21.279,9.5817
21.28,9.7132
21.281,10.0085
21.282,10.4026
21.283,10.4713
21.284,10.5687
21.285,10.4
21.286,10.017
21.287,9.5851
21.288,9.5357
21.289,9.942
21.29,10.5192
21.291,10.7484
21.292,10.5713
21.293,10.104
21.294,9.7241
21.295,9.3822
21.296,9.3278
21.297,9.5052
21.298,9.9777
21.299,10.1368
21.3,10.0997
21.301,9.879
21.302,9.7186
21.303,9.3725
21.304,9.47
21.305,9.8414
21.306,10.282
21.307,10.4757
21.308,10.5885
21.309,10.3229
21.31,10.1146
21.311,9.8406
21.312,9.7916
21.313,10.181
21.314,10.5083
21.315,10.5178
21.316,10.0476
21.317,9.4694
21.318,9.3231
21.319,9.3244
21.32,9.4697
21.321,9.5268
21.322,9.8976
21.323,10.1305
21.324,10.2938
21.325,9.9284
21.326,9.8019
21.327,9.6993
21.328,10.0541
21.329,10.5983
21.33,10.6123
21.331,10.7916
21.332,10.472
21.333,10.2813
21.334,9.8504
21.335,9.705
21.336,9.3772
21.337,9.5578
21.338,9.5453
21.339,9.9404
21.34,9.8022
21.341,9.8349
21.342,9.6438
21.343,9.4875
21.344,9.5718
21.345,10.0841
21.346,10.3072
21.347,10.5252
21.348,10.423
21.349,10.5041
21.35,9.9566
21.351,9.8799
21.352,9.6347
21.353,9.7784
21.354,9.9302
21.355,10.1065
21.356,10.082
21.357,9.7657
21.358,9.5568
21.359,9.3858
21.36,9.3859
21.361,9.9612
21.362,9.9359
21.363,10.3681
21.364,10.4873
21.365,10.2678
21.366,9.9831
21.367,9.7724
21.368,9.7644
21.369,9.864
21.37,10.1579
21.371,10.3018
21.372,10.1777
21.373,9.9503
21.374,9.6681
21.375,9.5126
21.376,9.5012
21.377,9.8912
21.378,10.0419
21.379,9.9689
21.38,10.23
21.381,10.1963
21.382,9.9076
21.383,9.5963
21.384,9.4779
21.385,9.6268
21.386,9.9139
21.387,10.1127
21.388,10.1593
21.389,9.9967
21.39,9.7958
21.391,9.7123
21.392,9.7979
21.393,10.1118
21.394,10.2947
21.395,10.5084
21.396,10.3585
21.397,9.9732
21.398,9.7744
21.399,9.7011
21.4,9.8258
21.401,9.8491
21.402,10.0882
21.403,10.4197
21.404,10.3617
21.405,10.0845
21.406,9.634
21.407,9.3629
21.408,9.5145
21.409,9.8406
21.41,10.0229
21.411,10.3041
21.412,10.1391
21.413,9.8102
21.414,9.5429
21.415,9.73
21.416,9.991
21.417,10.1624
21.418,10.3396
21.419,10.4378
21.42,10.3495
21.421,10.1316
21.422,9.9894
21.423,9.8658
21.424,10.1076
21.425,10.3284
21.426,10.6049
21.427,10.5594
21.428,10.2302
21.429,9.7576
21.43,9.4142
21.431,9.1468
21.432,9.2378
21.433,9.3923
21.434,9.7933
21.435,10.0228
21.436,9.7892
21.437,10.3542
21.438,9.5521
21.439,9.8243
21.44,9.2239
21.441,10.2518
21.442,10.2906
21.443,10.5149
21.444,10.5995
21.445,10.4023
21.446,10.0289
21.447,9.6812
21.448,9.8796
21.449,9.9826
21.45,10.236
21.451,10.1639
21.452,10.0478
21.453,9.8259
21.454,9.5278
21.455,9.5285
21.456,9.6672
21.457,10.2458
21.458,10.3285
21.459,10.4856
21.46,10.2601
21.461,10.0717
21.462,9.8541
21.463,9.7013
21.464,9.807
21.465,10.0064
21.466,10.2507
21.467,10.2951
21.468,10.0849
21.469,9.9084
21.47,9.4994
21.471,9.5685
21.472,9.7223
21.473,10.2314
21.474,10.1458
21.475,10.2975
21.476,10.1824
21.477,10.1275
21.478,9.8188
21.479,9.8847
21.48,9.9513
21.481,10.1974
21.482,10.3332
21.483,10.1938
21.484,9.872
21.485,9.5395
21.486,9.4295
21.487,9.5217
21.488,9.5396
21.489,9.885
21.49,9.896
21.491,10.0234
21.492,10.1614
21.493,10.2672
21.494,9.9186
21.495,9.7769
21.496,9.6877
21.497,10.0487
21.498,10.5179
21.499,10.6721
21.5,10.3071
21.501,9.8147
21.502,9.5766
21.503,9.5648
21.504,9.6894
21.505,10.0722
21.506,10.2472
21.507,10.3253
21.508,10.192
21.509,9.812
21.51,9.5441
21.511,9.5712
21.512,9.6551
21.513,9.9076
21.514,10.0674
21.515,10.3416
21.516,10.2257
21.517,9.9928
21.518,9.7032
21.519,9.7849
21.52,10.026
21.521,10.2003
21.522,10.3576
21.523,10.5614
21.524,10.2111
21.525,9.7216
21.526,9.2909
21.527,9.5062
21.528,9.7994
21.529,9.9243
21.53,10.272
21.531,10.2253
21.532,10.175
21.533,9.7942
21.534,9.7712
21.535,9.7915
21.536,10.0854
21.537,9.376
21.538,10.604
21.539,10.2328
21.54,11.4019
21.541,10.0296
21.542,10.1165
21.543,9.7952
21.544,9.863
21.545,9.9467
21.546,10.3382
21.547,10.3211
21.548,10.2142
21.549,9.7294
21.55,9.4191
21.551,9.3078
21.552,9.6057
21.553,10.2292
21.554,10.033
21.555,10.2498
21.556,9.8988
21.557,9.9818
21.558,9.9016
21.559,9.9186
21.56,10.0035
21.561,10.2325
21.562,10.6258
21.563,10.5729
21.564,10.1897
21.565,9.809
21.566,9.6152
21.567,9.6379
21.568,9.6852
21.569,10.0045
21.57,10.0732
21.571,9.9198
21.572,9.8714
21.573,9.6998
21.574,9.3794
21.575,9.5289
21.576,9.4772
21.577,9.8487
21.578,10.0662
21.579,10.3046
21.58,10.2875
21.581,10.2171
21.582,10.0117
21.583,10.0471
21.584,10.1464
21.585,10.4507
21.586,10.682
21.587,10.4793
21.588,10.2332
21.589,9.7911
21.59,9.4026
21.591,9.5801
21.592,9.5901
21.593,10.159
21.594,10.2188
21.595,10.3069
21.596,10.09
21.597,9.8587
21.598,9.713
21.599,9.5663
21.6,9.7135
21.601,10.1141
21.602,10.107
21.603,9.9926
21.604,9.9667
21.605,9.8925
21.606,10.0074
21.607,9.6619
21.608,9.6849
21.609,9.7414
21.61,10.156
21.611,10.4112
21.612,10.3127
21.613,10.0308
21.614,9.7387
21.615,9.7338
21.616,9.8916
21.617,10.1206
21.618,9.9667
21.619,10.1323
21.62,9.9629
21.621,9.867
21.622,9.5773
21.623,9.6092
21.624,9.8785
21.625,10.1837
21.626,10.4158
21.627,10.3846
21.628,10.3306
21.629,9.9666
21.63,9.7913
21.631,9.597
21.632,9.6301
21.633,10.0961
21.634,10.0982
21.635,10.0439
21.636,9.8691
21.637,9.5505
21.638,9.733
21.639,10.2597
21.64,10.4586
21.641,10.4113
21.642,10.2373
21.643,10.3937
21.644,10.4067
21.645,9.8514
21.646,9.5835
21.647,9.5789
21.648,10.0071
21.649,10.3763
21.65,10.2858
21.651,10.2289
21.652,9.7927
21.653,9.5704
21.654,9.3124
21.655,9.5075
21.656,9.8703
21.657,10.1796
21.658,10.4035
21.659,10.366
21.66,10.0512
21.661,9.5693
21.662,9.3559
21.663,9.4077
21.664,10.076
21.665,10.1171
21.666,10.2812
21.667,10.2003
21.668,10.0935
21.669,9.8295
21.67,9.7163
21.671,9.8037
21.672,10.0707
21.673,10.2531
21.674,10.5523
21.675,10.5472
21.676,10.4924
21.677,9.8791
21.678,9.6709
21.679,9.573
21.68,10.2229
21.681,10.3554
21.682,10.5735
21.683,10.4279
21.684,10.1107
21.685,9.6626
21.686,9.5492
21.687,9.5641
21.688,9.7363
21.689,9.8503
21.69,10.0301
21.691,10.0158
21.692,9.9261
21.693,9.6013
21.694,9.6517
21.695,9.6288
21.696,10.2383
21.697,10.2941
21.698,10.359
21.699,10.0449
21.7,9.901
21.701,9.7533
21.702,9.7202
21.703,9.7192
21.704,9.8712
21.705,10.1097
21.706,10.1921
21.707,9.872
21.708,9.6363
21.709,9.5854
21.71,9.6131
21.711,9.8114
21.712,10.0939
21.713,10.3787
21.714,10.6641
21.715,10.4586
21.716,10.0254
21.717,9.5513
21.718,9.5141
21.719,9.4938
21.72,9.6848
21.721,9.9776
21.722,10.2728
21.723,10.2987
21.724,10.2123
21.725,9.9617
21.726,9.7498
21.727,9.6286
21.728,10.0947
21.729,10.2108
21.73,10.3356
21.731,10.5244
21.732,10.0324
21.733,9.6954
21.734,9.4191
21.735,9.7033
21.736,9.8037
21.737,10.0781
21.738,10.1065
21.739,10.0092
21.74,9.8127
21.741,9.7176
21.742,9.8249
21.743,9.8396
21.744,10.3741
21.745,10.4936
21.746,10.4178
21.747,10.3733
21.748,10.0966
21.749,9.7123
21.75,9.491
21.751,9.6218
21.752,10.015
21.753,10.4318
21.754,10.2172
21.755,9.9785
21.756,9.7178
21.757,9.988
21.758,9.9735
21.759,9.9281
21.76,10.0741
21.761,10.0629
21.762,10.4821
21.763,10.3767
21.764,10.0255
21.765,9.6815
21.766,9.7428
21.767,9.7875
21.768,9.8927
21.769,10.3483
21.77,10.4126
21.771,10.192
21.772,9.6659
21.773,9.5626
21.774,9.6249
21.775,9.9195
21.776,10.3516
21.777,10.4653
21.778,10.1729
21.779,10.2882
21.78,9.9024
21.781,9.9121
21.782,9.7726
21.783,9.7568
21.784,9.7249
21.785,9.9244
21.786,10.2222
21.787,10.1039
21.788,9.699
21.789,9.5013
21.79,9.6425
21.791,9.786
21.792,10.2496
21.793,10.2087
21.794,10.4788
21.795,10.2084
21.796,9.9786
21.797,9.528
21.798,9.4467
21.799,9.9321
21.8,10.0709
21.801,10.3697
21.802,10.2988
21.803,10.1871
21.804,9.9374
21.805,9.58
21.806,9.6769
21.807,9.8411
21.808,10.2363
21.809,10.547
21.81,10.4588
21.811,10.2404
21.812,9.9169
21.813,9.6784
21.814,9.6316
21.815,9.6142
21.816,9.8742
21.817,10.189
21.818,10.077
21.819,9.8366
21.82,9.6077
21.821,9.7037
21.822,9.7647
21.823,10.0728
21.824,10.4031
21.825,10.4755
21.826,10.4626
21.827,10.3999
21.828,10.0453
21.829,9.9456
21.83,9.7671
21.831,9.5986
21.832,9.5931
21.833,9.8173
21.834,10.253
21.835,10.1654
21.836,10.0359
21.837,9.8994
21.838,9.8137
21.839,9.835
21.84,10.2048
21.841,10.4448
21.842,10.564
21.843,10.2821
21.844,10.1049
21.845,9.7561
21.846,9.9157
21.847,9.6203
21.848,9.8163
21.849,9.9767
21.85,10.1141
21.851,10.0181
21.852,9.8547
21.853,9.8345
21.854,9.9664
21.855,10.0104
21.856,10.4472
21.857,10.2258
21.858,10.1798
21.859,9.9208
21.86,9.8189
21.861,9.4554
21.862,9.4653
21.863,9.5426
21.864,9.849
21.865,10.2168
21.866,10.512
21.867,10.4117
21.868,10.0655
21.869,9.8104
21.87,9.7751
21.871,10.0139
21.872,10.5229
21.873,10.5901
21.874,10.6009
21.875,10.5344
21.876,10.1644
21.877,9.7541
21.878,9.427
21.879,9.4434
21.88,9.4396
21.881,9.7601
21.882,9.9794
21.883,9.7873
21.884,9.6941
21.885,9.5051
21.886,9.8012
21.887,9.7632
21.888,10.2631
21.889,10.3468
21.89,10.4666
21.891,10.5557
21.892,10.3278
21.893,10.1759
21.894,9.9822
21.895,10.2806
21.896,10.3003
21.897,10.5742
21.898,10.3947
21.899,10.1475
21.9,9.7037
21.901,9.5486
21.902,9.4987
21.903,9.5123
21.904,9.807
21.905,9.7696
21.906,9.8072
21.907,9.8178
21.908,9.8792
21.909,9.606
21.91,9.6882
21.911,9.8255
21.912,10.2214
21.913,10.6828
21.914,10.6694
21.915,10.4436
21.916,10.178
21.917,10.0038
21.918,9.8381
21.919,9.84
21.92,10.1205
21.921,10.4722
21.922,10.3529
21.923,10.0458
21.924,9.4477
21.925,9.1577
21.926,9.1987
21.927,9.3646
21.928,9.6293
21.929,9.9032
21.93,9.9999
21.931,9.9689
21.932,9.6604
21.933,9.6244
21.934,9.6635
21.935,10.1798
21.936,10.4042
21.937,10.635
21.938,10.6003
21.939,10.5278
21.94,10.249
21.941,9.7703
21.942,9.7618
21.943,10.0038
21.944,10.3577
21.945,10.397
21.946,10.2206
21.947,10.2018
21.948,9.9606
21.949,9.6287
21.95,9.388
21.951,9.6066
21.952,10.0983
21.953,10.4915
21.954,10.4722
21.955,10.2458
21.956,9.823
21.957,9.6418
21.958,9.7222
21.959,10.0681
21.96,10.4354
21.961,10.7224
21.962,10.5904
21.963,10.1188
21.964,9.8618
21.965,9.7052
21.966,9.7856
21.967,9.5788
21.968,9.8547
21.969,9.961
21.97,9.8267
21.971,9.9817
21.972,9.7989
21.973,9.7403
21.974,9.6717
21.975,9.7587
21.976,10.2614
21.977,10.4373
21.978,10.484
21.979,10.0261
21.98,9.6539
21.981,9.4279
21.982,9.6187
21.983,9.925
21.984,10.2483
21.985,10.3702
21.986,10.101
21.987,9.9871
21.988,9.7195
21.989,9.7073
21.99,9.7956
21.991,9.9968
21.992,10.2522
21.993,10.3657
21.994,10.3575
21.995,10.077
21.996,9.8117
21.997,9.5269
21.998,9.5776
21.999,9.9702
22.0,10.2694
22.001,10.5037
22.002,10.4809
22.003,10.1518
22.004,9.7578
22.005,9.535
22.006,9.4484
22.007,9.7628
22.008,10.0924
22.009,10.3442
22.01,10.1879
22.011,9.7427
22.012,9.7399
22.013,9.4851
22.014,9.6243
22.015,9.8542
22.016,10.1737
22.017,10.4949
22.018,10.6745
22.019,10.2151
22.02,9.8432
22.021,9.6438
22.022,9.6796
22.023,9.8688
22.024,10.0623
22.025,10.3782
22.026,10.4087
22.027,10.1916
22.028,9.7704
22.029,9.7226
22.03,9.9146
22.031,10.3511
22.032,10.4868
22.033,10.4955
22.034,10.0739
22.035,9.8297
22.036,9.2759
22.037,9.242
22.038,9.3971
22.039,9.7861
22.04,10.2752
22.041,10.307
22.042,10.1246
22.043,9.8429
22.044,9.8137
22.045,9.734
22.046,9.8746
22.047,10.2805
22.048,10.509
22.049,10.6143
22.05,10.6138
22.051,10.2271
22.052,9.915
22.053,9.7706
22.054,9.7002
22.055,9.7267
22.056,9.7682
22.057,9.9102
22.058,9.7167
22.059,9.849
22.06,9.7162
22.061,9.8428
22.062,9.678
22.063,10.1502
22.064,10.1614
22.065,10.1627
22.066,10.3166
22.067,10.2142
22.068,10.1022
22.069,9.9781
22.07,9.9446
22.071,10.3
22.072,10.2478
22.073,10.4284
22.074,10.0402
22.075,9.7965
22.076,9.5811
22.077,9.445
22.078,9.673
22.079,9.9918
22.08,10.0393
22.081,10.3603
22.082,10.2922
22.083,10.0431
22.084,9.7901
22.085,9.861
22.086,10.0094
22.087,10.2265
22.088,10.2226
22.089,10.4774
22.09,10.3408
22.091,10.0974
22.092,9.6307
22.093,9.5815
22.094,9.7148
22.095,10.3208
22.096,10.2363
22.097,10.2618
22.098,10.127
22.099,10.2093
22.1,9.6478
22.101,9.5429
22.102,9.3466
22.103,9.831
22.104,10.0668
22.105,10.3976
22.106,10.3325
22.107,10.0135
22.108,9.7779
22.109,9.6408
22.11,9.6516
22.111,10.0587
22.112,10.2352
22.113,10.3342
22.114,10.319
22.115,9.7568
22.116,9.584
22.117,9.3448
22.118,9.5451
22.119,9.6526
22.12,10.1692
22.121,10.3318
22.122,10.2801
22.123,9.8909
22.124,9.78
22.125,9.9028
22.126,10.1242
22.127,10.5589
22.128,10.5242
22.129,10.572
22.13,10.4988
22.131,9.9528
22.132,9.5908
22.133,9.4689
22.134,9.6664
22.135,9.687
22.136,9.8279
22.137,9.9623
22.138,10.0729
22.139,9.6239
22.14,9.5268
22.141,9.262
22.142,9.6859
22.143,10.0488
22.144,10.4823
22.145,10.5585
22.146,10.4349
22.147,9.8266
22.148,9.6092
