time_s,force
7.043,10.1282
7.044,10.2639
7.045,9.9036
7.046,9.5273
7.047,9.5782
7.048,9.6452
7.049,10.0314
7.05,10.2656
7.051,10.5353
7.052,10.5305
7.053,10.181
7.054,9.8592
7.055,9.8532
7.056,9.9461
7.057,10.1933
7.058,10.2425
7.059,10.0511
7.06,10.0061
7.061,10.0233
7.062,9.933
7.063,9.7767
7.064,9.6561
7.065,9.7809
7.066,9.9934
7.067,10.1655
7.068,10.1265
7.069,10.1014
7.07,9.914
7.071,9.7697
7.072,9.8421
7.073,10.1747
7.074,10.3421
7.075,10.1555
7.076,10.1164
7.077,9.8186
7.078,9.5506
7.079,9.3835
7.08,9.3822
7.081,10.041
7.082,10.2908
7.083,10.3388
7.084,10.0022
7.085,9.8021
7.086,9.8668
7.087,9.7376
7.088,9.775
7.089,10.1777
7.09,10.3093
7.091,10.5153
7.092,10.3499
7.093,10.0399
7.094,9.6752
7.095,9.6276
7.096,9.5892
7.097,10.0198
7.098,10.2128
7.099,10.141
7.1,9.9624
7.101,9.802
7.102,9.9385
7.103,9.7687
7.104,9.7312
7.105,9.9545
7.106,10.1159
7.107,10.3186
7.108,10.4512
7.109,10.051
7.11,9.6248
7.111,9.1513
7.112,9.0592
7.113,9.6352
7.114,9.959
7.115,10.2788
7.116,10.049
7.117,9.8888
7.118,9.7018
7.119,9.6136
7.12,9.8333
7.121,10.218
7.122,10.3702
7.123,10.419
7.124,10.3148
7.125,10.0662
7.126,9.8918
7.127,9.6605
7.128,9.8576
7.129,10.0822
7.13,10.2853
7.131,10.2401
7.132,10.0533
7.133,9.9433
7.134,9.6623
7.135,9.8448
7.136,9.6804
7.137,10.0725
7.138,10.0166
7.139,10.062
7.14,10.1025
7.141,10.056
7.142,9.8707
7.143,9.9043
7.144,9.7997
7.145,9.9015
7.146,9.9561
7.147,10.2054
7.148,10.0634
7.149,9.869
7.15,9.6925
7.151,9.8073
7.152,9.6726
7.153,9.9935
7.154,10.119
7.155,10.2345
7.156,10.2474
7.157,9.8948
7.158,9.6757
7.159,9.5505
7.16,9.5537
7.161,9.606
7.162,9.8615
7.163,10.1377
7.164,10.2093
7.165,9.9409
7.166,9.6556
7.167,9.5945
7.168,9.8292
7.169,10.1497
7.17,10.4098
7.171,10.3662
7.172,10.2519
7.173,9.8552
7.174,9.4742
7.175,9.4071
7.176,9.4235
7.177,9.5588
7.178,9.8334
7.179,9.9999
7.18,9.9954
7.181,9.6426
7.182,9.6122
7.183,9.6437
7.184,9.8217
7.185,10.1937
7.186,10.3712
7.187,10.5946
7.188,10.6805
7.189,10.2755
7.19,9.8698
7.191,9.7716
7.192,9.9143
7.193,10.0338
7.194,10.0801
7.195,9.9965
7.196,9.8743
7.197,9.8228
7.198,9.8195
7.199,9.8717
7.2,9.7558
7.201,10.1194
7.202,10.0008
7.203,10.0825
7.204,10.0134
7.205,9.932
7.206,9.6364
7.207,9.6276
7.208,9.667
7.209,9.8208
7.21,10.0393
7.211,10.1922
7.212,10.2842
7.213,10.0115
7.214,9.7648
7.215,9.5878
7.216,9.499
7.217,9.7023
7.218,10.0966
7.219,10.0008
7.22,10.1446
7.221,10.1728
7.222,9.9745
7.223,9.9752
7.224,9.8595
7.225,10.0647
7.226,10.1337
7.227,10.1738
7.228,10.0741
7.229,10.1822
7.23,9.7754
7.231,9.6965
7.232,9.4025
7.233,9.8262
7.234,10.1633
7.235,10.4169
7.236,10.5119
7.237,10.2185
7.238,10.0336
7.239,9.74
7.24,9.6568
7.241,9.6681
7.242,9.8664
7.243,10.0073
7.244,10.0024
7.245,9.929
7.246,9.8599
7.247,9.7415
7.248,9.6489
7.249,10.0897
7.25,10.1175
7.251,10.1261
7.252,10.2007
7.253,10.3184
7.254,10.3011
7.255,10.0067
7.256,9.7913
7.257,9.7413
7.258,10.1286
7.259,10.2259
7.26,10.0682
7.261,9.5894
7.262,9.3412
7.263,9.3199
7.264,9.4145
7.265,9.7535
7.266,9.9449
7.267,9.8976
7.268,10.2072
7.269,10.11
7.27,9.9899
7.271,9.5602
7.272,9.5894
7.273,9.8454
7.274,10.3753
7.275,10.4677
7.276,10.5675
7.277,10.1307
7.278,9.9084
7.279,9.6437
7.28,9.8056
7.281,9.8781
7.282,10.0951
7.283,10.1662
7.284,9.9651
7.285,9.8007
7.286,9.5347
7.287,9.467
7.288,9.5864
7.289,9.8724
7.29,9.9657
7.291,10.1904
7.292,9.9778
7.293,10.034
7.294,9.8161
7.295,9.8949
7.296,9.7575
7.297,9.8809
7.298,10.0822
7.299,10.1119
7.3,10.3827
7.301,10.249
7.302,9.9661
7.303,9.856
7.304,9.736
7.305,9.7585
7.306,9.9526
7.307,10.3338
7.308,10.449
7.309,10.1307
7.31,9.8243
7.311,9.6939
7.312,9.848
7.313,10.1328
7.314,10.212
7.315,10.2819
7.316,10.2269
7.317,10.1029
7.318,9.8685
7.319,9.6263
7.32,9.5603
7.321,9.8962
7.322,10.1594
7.323,10.3407
7.324,10.218
7.325,10.1536
7.326,9.9786
7.327,9.8643
7.328,9.604
7.329,9.6577
7.33,9.8796
7.331,9.9234
7.332,9.9927
7.333,10.0023
7.334,9.9063
7.335,9.6037
7.336,9.4844
7.337,9.4837
7.338,9.8631
7.339,10.0264
7.34,10.19
7.341,10.1282
7.342,10.0278
7.343,9.7756
7.344,10.0221
7.345,10.2616
7.346,10.7003
7.347,10.6864
7.348,10.4477
7.349,10.3201
7.35,10.0402
7.351,9.7619
7.352,9.5244
7.353,9.5397
7.354,9.8944
7.355,10.0109
