true_weight_grams,raw_mean,raw_std
1595.0,41504.4688,551.7811089794213
2956.0,41510.7556,570.1541236092571
195.0,41513.9402,543.6197312680621
50.0,41511.9232,560.7623754334451

scale,-0.034129988536127205
offset,2615.810679558268
r_squared,0.10717206403213841
